"lang_id","code","name","percent","official"
193,"COL","Spanish",null,true
194,"COM","Arabic",null,true
195,"COM","French",null,true
196,"COM","Shikomoro",null,true
197,"COD","French",null,true
198,"COD","Lingala",null,false
199,"COD","Kingwana",null,false
200,"COD","Kikongo",null,false
201,"COD","Tshiluba",null,false
202,"COG","French",null,true
203,"COG","Lingala",null,false
204,"COG","Other",null,false
205,"COK","English",86.4,true
206,"COK","Rarotongan",76.2,true
207,"COK","Other",8.3,false
208,"CRI","Spanish",null,true
209,"CRI","English",null,false
210,"CIV","French",null,true
211,"CIV","Other",null,false
212,"HRV","Croatian",95.6,true
213,"HRV","Serbian",1.2,false
214,"HRV","Other",3,false
215,"HRV","unspecified",0.2,false
216,"CUB","Spanish",null,true
217,"CYP","Greek",80.9,true
218,"CYP","Turkish",0.2,true
219,"CYP","English",4.1,false
220,"CYP","Romanian",2.9,false
221,"CYP","Russian",2.5,false
222,"CYP","Bulgarian",2.2,false
223,"CYP","Arabic",1.2,false
224,"CYP","Filipino",1.1,false
225,"CYP","Other",4.3,false
226,"CYP","unspecified",0.6,false
227,"DNK","Danish",null,false
228,"DNK","Faroese",null,false
229,"DNK","Greenlandic",null,false
230,"DNK","German",null,false
231,"DJI","French",null,true
232,"DJI","Arabic",null,true
233,"DJI","Somali",null,false
234,"DJI","Afar",null,false
235,"DMA","English",null,true
236,"DMA","French patois",null,false
237,"DOM","Spanish",null,true
238,"ECU","Spanish",93,true
239,"ECU","Quechua",4.1,false
240,"ECU","Other",0.7,false
241,"ECU","foreign",2.2,false
242,"EGY","Arabic",null,true
243,"EGY","English",null,false
244,"SLV","Spanish",null,true
245,"SLV","Nawat",null,false
246,"GNQ","Spanish",67.6,true
247,"GNQ","Other",null,true
248,"GNQ","Fang",null,false
249,"GNQ","Bubi",32.4,false
250,"ERI","Tigrinya",null,true
251,"ERI","Arabic",null,true
252,"ERI","English",null,true
253,"ERI","Tigre",null,false
254,"ERI","Kunama",null,false
255,"ERI","Afar",null,false
256,"ERI","Other",null,false
257,"EST","Estonian",68.5,true
258,"EST","Russian",29.6,false
259,"EST","Ukrainian",0.6,false
260,"EST","Other",1.2,false
261,"EST","unspecified",0.1,false
262,"ETH","Oromo",33.8,true
263,"ETH","Amharic",29.3,true
264,"ETH","Somali",6.2,true
265,"ETH","Tigrigna",5.9,true
266,"ETH","Sidamo",4,false
267,"ETH","Wolaytta",2.2,false
268,"ETH","Gurage",2,false
269,"ETH","Afar",1.7,true
270,"ETH","Hadiyya",1.7,false
271,"ETH","Gamo",1.5,false
272,"ETH","Gedeo",1.3,false
273,"ETH","Opuuo",1.2,false
274,"ETH","Kafa",1.1,false
275,"ETH","Other",8.1,false
276,"ETH","English",null,false
277,"ETH","Arabic",null,false
278,"FRO","Faroese",93.8,false
279,"FRO","Danish",3.2,false
280,"FRO","Other",3,false
281,"FIN","Finnish",88.3,true
282,"FIN","Swedish",5.3,true
283,"FIN","Russian",1.4,false
284,"FIN","Other",5,false
285,"FRA","French",100,true
286,"FRA","Provencal",null,false
287,"FRA","Breton",null,false
288,"FRA","Alsatian",null,false
289,"FRA","Corsican",null,false
290,"FRA","Catalan",null,false
291,"FRA","Basque",null,false
292,"FRA","Flemish",null,false
293,"FRA","Occitan",null,false
294,"FRA","Picard",null,false
295,"FRA","French",null,false
296,"FRA","Creole patois",null,false
297,"FRA","Mahorian",null,false
298,"PYF","French",70,true
299,"PYF","Polynesian",28.2,true
300,"PYF","Other",1.8,false
301,"GAB","French",null,true
302,"GAB","Fang",null,false
303,"GAB","Myene",null,false
304,"GAB","Nzebi",null,false
305,"GAB","Bapounou/Eschira",null,false
306,"GAB","Bandjabi",null,false
307,"GMB","English",null,true
308,"GMB","Mandinka",null,false
309,"GMB","Wolof",null,false
310,"GMB","Fula",null,false
