"pop_id","country_code","year","fertility_rate","life_expectancy","size"
124,"EST",2015,1.54,77.13171,1314608
127,"ETH",2010,4.903,61.296124,87561816
126,"ETH",2015,4.275,64.57805,99390750
133,"FIN",2010,1.87,79.870735,5363352
132,"FIN",2015,1.71,81.38537,5479531
131,"FJI",2010,2.669,69.38437,859952
130,"FJI",2015,2.54,70.25627,892145
135,"FRA",2010,2.03,81.663414,65027512
134,"FRA",2015,2.01,82.67073,66538392
129,"FRO",2010,2.5,80.63902,48567
128,"FRO",2015,2.4,81.63415,48199
257,"FSM",2010,3.46,68.61227,103619
256,"FSM",2015,3.193,69.234245,104460
139,"GAB",2010,4.083,62.12083,1541936
138,"GAB",2015,3.849,64.89034,1725292
411,"GBR",2010,1.92,80.402435,62766364
410,"GBR",2015,1.81,81.60488,65128860
143,"GEO",2010,1.82,74.00244,3926000
142,"GEO",2015,1.815,74.81741,3717100
147,"GHA",2010,4.272,60.609974,24317734
146,"GHA",2015,4.117,61.491734,27409892
149,"GIB",2010,null,null,30732
148,"GIB",2015,null,null,32217
161,"GIN",2010,5.337,56.30505,11012406
160,"GIN",2015,4.932,59.19344,12608590
141,"GMB",2010,5.796,59.34061,1693002
140,"GMB",2015,5.674,60.46768,1990924
163,"GNB",2010,5.091,53.814365,1634196
162,"GNB",2015,4.761,55.467316,1844325
122,"GNQ",2010,5.176,55.971,728710
121,"GNQ",2015,4.745,57.963413,845060
151,"GRC",2010,1.48,80.3878,11121341
150,"GRC",2015,1.3,81.58781,10820883
155,"GRD",2010,2.24,72.56751,104677
154,"GRD",2015,2.127,73.523,106825
153,"GRL",2010,2.195,70.85707,56905
152,"GRL",2015,2,null,56114
159,"GTM",2010,3.434,70.77547,14732261
158,"GTM",2015,3.159,71.95649,16342897
157,"GUM",2010,2.472,78.100876,159440
156,"GUM",2015,2.366,79.379,169885
165,"GUY",2010,2.68,66.04271,753362
164,"GUY",2015,2.532,66.507515,767085
171,"HKG",2010,1.127,82.97805,7024200
170,"HKG",2015,1.195,84.278046,7305700
169,"HND",2010,2.695,72.393974,7503875
168,"HND",2015,2.332,73.33312,8075060
98,"HRV",2010,1.55,76.47561,4417781
97,"HRV",2015,1.46,77.27561,4203604
167,"HTI",2010,3.325,61.240124,9999617
166,"HTI",2015,2.973,63.073757,10711067
173,"HUN",2010,1.25,74.20731,10000023
172,"HUN",2015,1.44,75.960976,9843028
179,"IDN",2010,2.513,68.147194,241613120
178,"IDN",2015,2.437,69.071686,257563810
187,"IMN",2010,null,null,84327
186,"IMN",2015,null,null,87780
177,"IND",2010,2.622,66.50615,1230984400
176,"IND",2015,2.395,68.348564,1311050500
185,"IRL",2010,2.05,80.743904,4560155
184,"IRL",2015,1.94,81.50244,4643740
181,"IRN",2010,1.765,73.98317,74253376
180,"IRN",2015,1.685,75.59134,79109270
183,"IRQ",2010,4.659,68.49012,30868156
182,"IRQ",2015,4.515,69.59027,36423396
175,"ISL",2010,2.2,81.89756,318041
174,"ISL",2015,1.93,82.86098,330815
189,"ISR",2010,3.03,81.60244,7623600
188,"ISR",2015,3.09,82.051216,8380100
191,"ITA",2010,1.46,82.03658,59277416
190,"ITA",2015,1.37,83.49024,60730584
193,"JAM",2010,2.174,74.84749,2741253
192,"JAM",2015,2.025,75.79817,2793335
197,"JOR",2010,3.553,73.43583,6517912
196,"JOR",2015,3.366,74.20334,7594547
195,"JPN",2010,1.39,82.84268,128070000
194,"JPN",2015,1.46,83.84366,126958470
199,"KAZ",2010,2.6,68.295364,16321581
198,"KAZ",2015,2.73,72,17544126
201,"KEN",2010,4.629,58.71861,40328312
200,"KEN",2015,4.263,62.13373,46050304
213,"KGZ",2010,3.1,69.3,5447900
212,"KGZ",2015,3.2,70.65122,5956900
68,"KHM",2010,2.875,66.38566,14363586
67,"KHM",2015,2.595,68.65614,15577899
203,"KIR",2010,3.843,65.30278,102648
202,"KIR",2015,3.69,66.14785,112423
361,"KNA",2010,null,null,52352
360,"KNA",2015,null,null,55572
207,"KOR",2010,1.226,80.551216,49410368
206,"KOR",2015,1.239,82.15585,50617044
211,"KWT",2010,2.353,74.11663,3059473
210,"KWT",2015,2.072,74.6979,3892115
215,"LAO",2010,3.293,64.33363,6260544
214,"LAO",2015,2.923,66.53988,6802023
219,"LBN",2010,1.613,78.46536,4337156
218,"LBN",2015,1.722,79.62861,5850743
223,"LBR",2010,5.024,59.44129,3957990
222,"LBR",2015,4.647,61.16095,4503438
225,"LBY",2010,2.603,71.73739,6265697
224,"LBY",2015,2.426,71.82632,6278438
363,"LCA",2010,1.982,74.4711,177397
362,"LCA",2015,1.869,75.18451,184999
227,"LIE",2010,1.4,81.84146,36276
226,"LIE",2015,1.59,82.07317,37531
359,"LKA",2010,2.203,74.33924,20119000
358,"LKA",2015,2.062,74.95319,20966000
221,"LSO",2010,3.303,47.483414,2010586
220,"LSO",2015,3.142,49.96122,2135022
229,"LTU",2010,1.5,73.268295,3097282
228,"LTU",2015,1.63,75.119514,2904910
231,"LUX",2010,1.63,80.63171,506953
230,"LUX",2015,1.5,82.22927,569604
217,"LVA",2010,1.36,73.482925,2097555
216,"LVA",2015,1.64,74.12439,1977527
233,"MAC",2010,1.061,79.69039,534626
232,"MAC",2015,1.276,80.766075,587606
365,"MAF",2010,1.82,78.721954,30235
364,"MAF",2015,1.81,79.47073,31754
267,"MAR",2010,2.535,72.57693,32107740
266,"MAR",2015,2.486,74.289314,34377512
261,"MCO",2010,null,null,36845
260,"MCO",2015,null,null,37731
259,"MDA",2010,1.274,69.70927,3562045
258,"MDA",2015,1.248,71.62644,3554108
237,"MDG",2010,4.654,63.361732,21079532
236,"MDG",2015,4.35,65.48278,24235390
243,"MDV",2010,2.209,76.200485,367000
242,"MDV",2015,2.088,76.979,409163
255,"MEX",2010,2.356,76.02678,118617544
254,"MEX",2015,2.213,76.920685,127017224
249,"MHL",2010,null,null,52428
248,"MHL",2015,null,null,52993
235,"MKD",2010,1.471,74.72263,2062443
234,"MKD",2015,1.535,75.49534,2078453
245,"MLI",2010,6.547,56.179806,15167286
244,"MLI",2015,6.143,58.45722,17599694
247,"MLT",2010,1.36,81.39756,414508
246,"MLT",2015,1.42,81.94634,431874
271,"MMR",2010,2.386,64.91749,51733012
270,"MMR",2015,2.177,66.042076,53897152
265,"MNE",2010,1.767,75.045296,619428
264,"MNE",2015,1.676,76.33771,622159
263,"MNG",2010,2.555,67.60383,2712657
262,"MNG",2015,2.638,69.821266,2959134
291,"MNP",2010,null,null,53860
290,"MNP",2015,null,null,55070
269,"MOZ",2010,5.564,53.226902,24321456
268,"MOZ",2015,5.295,55.371243,27977864
251,"MRT",2010,4.835,62.006172,3591400
250,"MRT",2015,4.543,63.202827,4067564
253,"MUS",2010,1.57,72.967316,1250400
252,"MUS",2015,1.36,74.35317,1262605
239,"MWI",2010,5.531,56.836243,14769824
238,"MWI",2015,5.048,63.796852,17215232
241,"MYS",2010,1.998,74.15778,28119500
240,"MYS",2015,1.931,74.87517,30331008
273,"NAM",2010,3.605,62.480293,2193643
272,"NAM",2015,3.473,64.915436,2458830
281,"NCL",2010,2.17,77.47317,250000
280,"NCL",2015,2.22,77.77317,273000
287,"NER",2010,7.667,58.259,16291990
286,"NER",2015,7.567,61.969025,19899120
289,"NGA",2010,5.84,51.329514,159424740
288,"NGA",2015,5.587,53.048878,182201970
285,"NIC",2010,2.428,73.58173,5737722
284,"NIC",2015,2.231,75.09812,6082032
279,"NLD",2010,1.79,80.70244,16615394
278,"NLD",2015,1.71,81.70731,16939924
293,"NOR",2010,1.95,80.99756,4889252
292,"NOR",2015,1.75,82.1,5190239
277,"NPL",2010,2.606,67.97149,26875910
276,"NPL",2015,2.167,69.97334,28513700
275,"NRU",2010,null,null,10025
274,"NRU",2015,null,null,12475
283,"NZL",2010,2.17,80.70244,4350700
282,"NZL",2015,1.99,81.45683,4595700
295,"OMN",2010,2.888,76.0528,2943747
294,"OMN",2015,2.712,77.324196,4490541
297,"PAK",2010,3.855,65.16256,170043920
296,"PAK",2015,3.55,66.376976,188924880
301,"PAN",2010,2.513,76.86363,3620506
300,"PAN",2015,2.421,77.767296,3929141
307,"PER",2010,2.545,73.63981,29373644
306,"PER",2015,2.427,74.78073,31376670
309,"PHL",2010,3.133,67.78332,93038904
308,"PHL",2015,2.944,68.40675,100699390
299,"PLW",2010,null,null,20470
298,"PLW",2015,2.21,null,21291
303,"PNG",2010,3.985,61.99483,6847517
302,"PNG",2015,3.705,62.776684,7619321
311,"POL",2010,1.41,76.24634,38042792
310,"POL",2015,1.32,78.20488,37986412
315,"PRI",2010,1.6235,78.41164,3721526
314,"PRI",2015,1.432,79.57232,3474182
205,"PRK",2010,2.003,68.900024,24500506
204,"PRK",2015,1.968,70.33793,25155316
313,"PRT",2010,1.39,79.02683,10573100
312,"PRT",2015,1.23,81.52195,10358076
305,"PRY",2010,2.73,72.30129,6209877
304,"PRY",2015,2.509,73.025635,6639123
427,"PSE",2010,4.433,72.21493,3811102
426,"PSE",2015,4.11,73.074196,4422143
137,"PYF",2010,2.11,75.69539,268065
136,"PYF",2015,2.027,76.75241,282764
317,"QAT",2010,2.104,77.825516,1765513
316,"QAT",2015,2.007,78.76259,2235355
319,"ROU",2010,1.59,73.458534,20246872
318,"ROU",2015,1.52,74.960976,19815308
321,"RUS",2010,1.567,68.84122,142849460
320,"RUS",2015,1.75,70.90854,144096860
323,"RWA",2010,4.441,61.40178,10293669
322,"RWA",2015,3.8,64.524536,11609666
331,"SAU",2010,2.987,73.70161,28090648
330,"SAU",2015,2.713,74.49334,31540372
369,"SDN",2010,4.636,62.042583,36114884
368,"SDN",2015,4.286,63.71073,40234880
333,"SEN",2010,5.174,64.01444,12956791
332,"SEN",2015,5.031,66.80441,15129273
341,"SGP",2010,1.15,81.541466,5076732
340,"SGP",2015,1.24,82.59512,5535002
349,"SLB",2010,4.236,67.06566,526177
348,"SLB",2015,3.904,68.14624,583591
339,"SLE",2010,5.151,48.22895,5775902
338,"SLE",2015,4.516,51.30817,6453184
120,"SLV",2010,2.078,71.67061,6038306
119,"SLV",2015,1.909,73.0011,6126583
327,"SMR",2010,null,83.15938,30690
326,"SMR",2015,null,null,31781
351,"SOM",2010,6.868,54.02366,9581714
350,"SOM",2015,6.364,55.685585,10787104
335,"SRB",2010,1.4,74.336586,7291436
334,"SRB",2015,1.46,75.48781,7095383
355,"SSD",2010,5.376,53.6649,10056475
354,"SSD",2015,4.937,56.11151,12339812
329,"STP",2010,4.789,65.85468,170880
328,"STP",2015,4.516,66.51371,190344
371,"SUR",2010,2.465,70.36273,518141
370,"SUR",2015,2.336,71.294174,542975
345,"SVK",2010,1.43,75.1122,5391428
344,"SVK",2015,1.37,77.2122,5423801
347,"SVN",2010,1.57,79.42195,2048583
346,"SVN",2015,1.58,81.07805,2063531
375,"SWE",2010,1.98,81.45122,9378126
374,"SWE",2015,1.88,82.551216,9799186
373,"SWZ",2010,3.559,48.345757,1193148
372,"SWZ",2015,3.201,48.87395,1286970
343,"SXM",2010,null,null,35474
342,"SXM",2015,null,null,38824
337,"SYC",2010,2.1,73.19756,89770
336,"SYC",2015,2.3,73.22927,93419
379,"SYR",2010,3.093,72.30744,20720602
378,"SYR",2015,2.903,70.08932,18502412
401,"TCA",2010,null,null,30993
400,"TCA",2015,null,null,34339
78,"TCD",2010,6.594,49.862072,11896380
77,"TCD",2015,6.05,51.873318,14037472
389,"TGO",2010,4.868,57.281563,6390851
388,"TGO",2015,4.514,60.120754,7304578
385,"THA",2010,1.547,73.69437,66692024
384,"THA",2015,1.497,74.6012,67959360
381,"TJK",2010,3.514,68.56339,7581696
380,"TJK",2015,3.454,69.76844,8481855
399,"TKM",2010,2.411,65.02124,5041995
398,"TKM",2015,2.275,65.73644,5373502
387,"TLS",2010,6.235,67.30839,1057122
386,"TLS",2015,5.615,68.52641,1184765
391,"TON",2010,3.913,72.18261,103947
390,"TON",2015,3.678,72.944046,106170
393,"TTO",2010,1.806,69.79756,1328095
392,"TTO",2015,1.766,70.55771,1360088
395,"TUN",2010,2.098,74.61171,10639194
394,"TUN",2015,2.132,74.975975,11253554
397,"TUR",2010,2.134,74.09093,72310416
396,"TUR",2015,2.052,75.426216,78665830
403,"TUV",2010,null,null,9827
402,"TUV",2015,null,null,9916
383,"TZA",2010,5.427,61.62561,45648524
382,"TZA",2015,5.078,65.48749,53470420
405,"UGA",2010,6.154,55.83666,33149416
404,"UGA",2015,5.682,59.179073,39032384
407,"UKR",2010,1.443,70.265366,45870700
406,"UKR",2015,1.506,71.189514,45154028
415,"URY",2010,2.078,76.39461,3374414
414,"URY",2015,2.007,77.13822,3431555
413,"USA",2010,1.931,78.541466,309346850
412,"USA",2015,1.843,78.74146,321418820
417,"UZB",2010,2.342,67.86129,28562400
416,"UZB",2015,2.491,68.45307,31298900
367,"VCT",2010,2.07,72.34639,109316
366,"VCT",2015,1.952,73.05237,109462
421,"VEN",2010,2.472,73.67161,28995744
420,"VEN",2015,2.34,74.40961,31108084
56,"VGB",2010,null,null,27223
55,"VGB",2015,null,null,30117
425,"VIR",2010,1.81,79.17317,106267
424,"VIR",2015,1.74,79.87317,103574
423,"VNM",2010,1.946,74.990364,86932496
422,"VNM",2015,1.96,75.77773,91713296
419,"VUT",2010,3.499,70.84995,236299
418,"VUT",2015,3.31,72.157364,264652
325,"WSM",2010,4.338,72.417,186029
324,"WSM",2015,4.028,73.76488,193228
209,"XKX",2010,2.29,69.9,1775680
208,"XKX",2015,2.09,71.346344,1801800
429,"YEM",2010,4.703,62.76873,23591972
428,"YEM",2015,4.043,64.03139,26832216
353,"ZAF",2010,2.467,54.390755,50979432
352,"ZAF",2015,2.339,57.440903,55011976
431,"ZMB",2010,5.687,56.383854,13917439
430,"ZMB",2015,5.284,60.785683,16211767
433,"ZWE",2010,4.048,49.574657,13973897
432,"ZWE",2015,3.856,59.16107,15602751
